"...1","days","n","rb","rn","w","pph","ph","pp","k","pBrood","pHoney","pPollen","pEmpty","broodMetric","pollenRing"
1,30,103,3,1,1087,0.7857,1.0601,0.923,9.3253,0.177777777777778,0.478518518518519,0.305777777777778,0.0379259259259259,2.39333333333333,5.3185572755418
1,30,87,4,1,1748,0.4249,1.0349,0.9293,10.33,0.161777777777778,0.501925925925926,0.287703703703704,0.0485925925925926,1.86813186813187,3.42961038961039
1,30,105,3,3,2761,0.2573,1.0535,0.9602,14.8225,0.187259259259259,0.483555555555556,0.26962962962963,0.0595555555555556,2.56645569620253,4.45898284313725
1,30,69,3,1,2414,0.6906,1.082,0.9247,18.5639,0.164740740740741,0.443851851851852,0.335407407407407,0.056,2.27338129496403,6.31148865153538
1,30,74,2,3,1746,0.8369,0.9864,1.0959,9.1124,0.179851851851852,0.56562962962963,0.187259259259259,0.0672592592592593,2.34266886326194,5.9200628601362
1,30,100,3,4,1196,0.3065,1.0596,1.0929,5.9444,0.220444444444444,0.50962962962963,0.21037037037037,0.0595555555555556,2.97849462365591,4.71700581395349
1,30,82,4,1,1743,0.3077,1.0485,1.0078,8.7003,0.197925925925926,0.511703703703704,0.238222222222222,0.0521481481481481,2.29940119760479,3.59299363057325
1,30,70,3,3,1752,0.4438,0.978,1.0906,18.0354,0.169185185185185,0.564148148148148,0.206222222222222,0.0604444444444444,2.02802101576182,4.60910714285714
1,30,109,2,1,1748,0.7783,1.0178,0.9508,14.4294,0.15437037037037,0.497481481481481,0.303407407407407,0.0447407407407407,2.18809980806142,7.18184633710542
1,30,104,2,3,1873,0.3998,0.9603,0.9895,17.0951,0.165037037037037,0.558518518518519,0.243259259259259,0.0331851851851852,2.46319569120287,7.16401061007958
1,30,101,2,1,2020,0.274,0.9231,1.0796,17.2603,0.156444444444444,0.590222222222222,0.200592592592593,0.0527407407407407,2.25,6.57021586345382
1,30,80,2,2,3021,0.2825,0.9341,1.001,13.2307,0.0903703703703704,0.628444444444444,0.242666666666667,0.0385185185185185,1.54754098360656,6.85616690240453
1,30,67,3,3,1944,0.6548,0.9431,0.9221,7.4825,0.113185185185185,0.553185185185185,0.293333333333333,0.0402962962962963,1.6544502617801,6.78392608462774
1,30,92,4,4,2026,0.4747,0.9117,0.9141,5.482,0.12,0.585777777777778,0.267259259259259,0.026962962962963,1.58518518518519,5.18663125948407
1,30,99,3,2,3178,0.4702,1.01,0.9359,6.9039,0.145185185185185,0.50637037037037,0.300444444444444,0.048,1.8530612244898,5.21784669397308
1,30,62,3,3,1575,0.2707,1.0222,0.9222,13.4503,0.123851851851852,0.550222222222222,0.266074074074074,0.0598518518518519,1.9377990430622,5.09206246634356
1,30,104,2,1,2099,0.5353,1.0572,0.994,10.6224,0.172740740740741,0.485037037037037,0.267259259259259,0.074962962962963,2.56260720411664,6.48916921197312
1,30,119,4,4,2924,0.5136,0.932,1.0604,17.6585,0.186074074074074,0.595851851851852,0.175111111111111,0.042962962962963,2.03821656050955,3.1342317255097
1,30,82,2,2,3763,0.2324,0.9167,0.9021,18.1709,0.0702222222222222,0.632592592592593,0.268444444444444,0.0287407407407407,1.18987341772152,7.38386885245902
1,30,89,4,2,1418,0.8646,0.9649,0.9075,11.3225,0.151407407407407,0.515259259259259,0.303111111111111,0.0302222222222222,2.13307240704501,4.24698102357677
1,30,101,3,4,2732,0.8346,1.0295,0.9056,16.9649,0.133333333333333,0.454222222222222,0.364148148148148,0.0482962962962963,1.55555555555556,4.10326810176125
1,30,83,2,2,3889,0.6954,0.9062,1.031,13.5766,0.125333333333333,0.651851851851852,0.173925925925926,0.0488888888888889,1.73049645390071,5.83622727272727
1,30,61,3,1,3734,0.794,0.9734,1.0405,13.3195,0.124148148148148,0.589333333333333,0.208592592592593,0.0779259259259259,1.44152744630072,4.48131221719457
1,30,85,4,3,3437,0.6158,1.0558,1.0327,15.5187,0.250962962962963,0.449185185185185,0.218074074074074,0.0817777777777778,2.19598583234947,2.29013852242744
