"...1","trial_n","days","n","rb","rn","w","pph","ph","pp","k","pBrood","pHoney","pPollen","pEmpty","broodMetric","pollenRing"
1,16,25,94,3,3,2217,0.794,0.982,0.9025,9.2113,0.0385185185185185,0.00533333333333333,0.940148148148148,0.016,0.738461538461539,13.1405555555556
1,17,25,63,3,3,1884,0.4762,1.0794,0.9312,12.447,0.0482962962962963,0.298962962962963,0.613925925925926,0.0388148148148148,0.94478527607362,11.4001189296333
1,18,25,82,4,4,3552,0.8964,1.0973,0.934,10.4126,0.0251851851851852,0.00029629629629629,0.970962962962963,0.00355555555555556,0.517647058823529,14.93
1,19,25,68,4,2,1404,0.5979,0.9842,0.9396,19.0848,0.0586666666666667,0.344888888888889,0.570962962962963,0.0254814814814815,1.05050505050505,11.4701116838488
1,20,25,107,3,2,1744,0.6359,0.9194,1.0661,9.0568,0.0808888888888889,0.0459259259259259,0.832296296296296,0.0408888888888889,1.61172161172161,10.5403870967742
1,21,25,83,2,3,2870,0.286,1.0361,1.0564,12.5095,0.0761481481481481,0.37837037037037,0.522074074074074,0.0234074074074074,1.40856031128405,11.4378465152702
1,22,25,106,4,4,3257,0.5052,1.0614,0.9685,18.3844,0.0379259259259259,0.44,0.511703703703704,0.0103703703703704,0.8125,12.1219528619529
1,23,25,60,4,2,1755,0.4046,1.0476,0.9241,11.0656,0.0811851851851852,0.233777777777778,0.629037037037037,0.056,1.35036496350365,11.1742585551331
1,24,25,93,4,3,3056,0.386,0.9309,0.9946,10.6325,0.0574814814814815,0.222814814814815,0.670814814814815,0.0488888888888889,1.03092783505155,11.206329787234
1,25,25,109,2,3,2859,0.8913,1.0361,0.9849,11.1184,0.0432592592592593,0.00385185185185185,0.945777777777778,0.00711111111111111,0.643835616438356,11.9807692307692
1,26,25,68,4,2,3025,0.7861,1.056,0.9296,17.725,0.0204444444444444,0.00088888888888888,0.969481481481481,0.00918518518518519,0.579710144927536,9.73
1,27,25,117,2,3,1590,0.7761,0.9872,0.9831,11.0284,0.0477037037037037,0.128592592592593,0.76562962962963,0.0580740740740741,1.1055900621118,11.4349078341014
1,28,25,117,4,2,1723,0.8183,0.9457,0.981,19.1173,0.045037037037037,0.191111111111111,0.716740740740741,0.0471111111111111,0.868421052631579,11.2277829457364
1,29,25,66,3,3,1809,0.8137,1.0405,0.991,18.1113,0.0311111111111111,0.248888888888889,0.675555555555556,0.0444444444444444,0.514285714285714,13.4760833333333
1,30,25,98,2,2,1537,0.9268,0.9489,1.0536,19.5787,0.0420740740740741,0.13362962962963,0.770962962962963,0.0533333333333333,0.732394366197183,11.7920842572062
1,31,25,83,3,4,1812,0.4756,0.9127,0.9167,7.135,0.0702222222222222,0.235851851851852,0.655407407407407,0.0385185185185185,1.24050632911392,11.4925628140704
1,32,25,105,2,4,3675,0.8561,1.0233,1.0372,14.0301,0.0281481481481481,0.013037037037037,0.93362962962963,0.0251851851851852,0.568421052631579,12.6686363636364
1,33,25,99,3,4,2812,0.8245,0.9791,0.9584,12.5419,0.034962962962963,0.045037037037037,0.871111111111111,0.0488888888888889,0.559322033898305,11.8202631578947
1,34,25,115,3,2,1387,0.4691,1.0602,1.0401,9.8323,0.12,0.237333333333333,0.593185185185185,0.0494814814814815,2.24197530864198,11.2334456928839
1,35,25,104,4,4,3955,0.8537,0.9275,0.9391,15.3682,0.0263703703703704,0.0106666666666667,0.936888888888889,0.0260740740740741,0.584269662921348,11.4313888888889
1,36,25,105,2,2,1451,0.5097,0.9908,0.9585,9.3186,0.103703703703704,0.17837037037037,0.656296296296296,0.0616296296296296,1.86285714285714,10.7842026578073
1,37,25,98,3,1,1893,0.5812,1.0935,0.9244,15.9265,0.0432592592592593,0.0438518518518519,0.838518518518519,0.0743703703703704,0.821917808219178,10.2552702702703
1,38,25,75,3,2,1784,0.6286,0.9313,0.9272,19.5077,0.0456296296296296,0.296888888888889,0.625185185185185,0.0322962962962963,0.857142857142857,11.8882135728543
1,39,25,92,4,1,2076,0.6986,1.0676,1.0605,18.1335,0.0524444444444444,0.0219259259259259,0.893037037037037,0.0325925925925926,0.813559322033898,11.722027027027
1,40,25,86,4,4,1974,0.3586,0.931,1.0792,16.7716,0.0731851851851852,0.458074074074074,0.46162962962963,0.00711111111111111,1.4331983805668,11.2318628719276
1,1,25,103,4,4,2990,0.928,0.9811,1.0558,8.3586,0.0373333333333333,0.00029629629629629,0.958518518518519,0.00385185185185185,0.777777777777778,12.29
