"...1","trial_n","type","days","n","rb","rn","w","pph","ph","pp","k","bhd","wha","qha","pBrood","pHoney","pPollen","pEmpty","pBroodHeat","pHoneyHeat","pPollenHeat","pEmptyHeat","broodMetric","pollenRing"
1,13,"queen",30,64,3,1,2089,0.2327,1.0692,0.9774,5.4343,0.3986,0.641,2.164,0.304296296296296,0.584,0.0103703703703704,0.101333333333333,0.0517711171662125,0.852861035422343,0.0953678474114441,0,4.23563777994158,6.39376966007103
1,14,"queen",30,60,4,1,2090,0.3263,0.9768,1.0139,7.1175,0.7191,0.9077,1.5727,0.27762962962963,0.601185185185185,0.0248888888888889,0.0962962962962963,0,0.768392370572207,0.228882833787466,0.00272479564032698,4.14300960512273,7.02632331197634
1,15,"queen",30,67,2,4,3269,0.5504,0.9153,0.9267,12.6677,0.7594,0.2079,3.7558,0.0568888888888889,0.936592592592593,0,0.00651851851851852,0.0381471389645777,0.961852861035422,0,0,1.13541666666667,6.21440999683644
1,16,"queen",30,113,4,4,2719,0.7907,1.061,0.9982,15.6495,0.0544,0.3911,3.3372,0.144296296296296,0.841481481481481,0,0.0142222222222222,0.0217983651226158,0.975476839237057,0,0.00272479564032698,2.51745379876797,5.72338732394366
1,17,"queen",30,95,2,1,3514,0.8112,1.023,0.942,17.5863,0.3592,0.9047,4.7665,0.0871111111111111,0.886814814814815,0.0142222222222222,0.0118518518518519,0.0326975476839237,0.833787465940054,0.130790190735695,0.00272479564032698,1.61904761904762,6.45846976277982
1,18,"queen",30,95,4,4,1322,0.2456,0.9099,0.9356,6.5243,0.8927,0.1005,1.7861,0.369185185185185,0.563555555555556,0.00148148148148148,0.0657777777777778,0.0790190735694823,0.85558583106267,0.0136239782016349,0.0517711171662125,4.66131621187801,6.42064668769716
1,19,"queen",30,110,3,3,2566,0.2205,0.9374,1.0655,10.1403,0.4568,0.4043,3.2001,0.407407407407407,0.522666666666667,0.00029629629629629,0.0696296296296296,0.253405994550409,0.692098092643052,0.00272479564032698,0.0517711171662125,4.77527272727273,5.76201814058957
1,20,"queen",30,67,4,4,3485,0.9544,0.9415,1.0311,17.2375,0.7095,0.6403,2.0491,0.0234074074074074,0.976592592592593,0,0,0.00817438692098093,0.991825613079019,0,0,0.354430379746835,7.22325242718447
1,21,"queen",30,97,2,1,1018,0.2733,0.9267,0.9886,10.8576,0.1811,0.4656,3.7993,0.33362962962963,0.514962962962963,0.0447407407407407,0.106666666666667,0.356948228882834,0.479564032697548,0.138964577656676,0.0245231607629428,4.67140319715808,7.45952819332566
1,22,"queen",30,109,2,4,2851,0.94,0.9201,1.0936,7.9722,0.4329,0.47,3.9155,0.0405925925925926,0.955555555555556,0,0.00385185185185185,0.0490463215258856,0.950953678474114,0,0,0.759124087591241,6.58146976744186
1,23,"queen",30,96,4,3,3790,0.4693,0.9089,0.9128,9.003,0.6966,0.0778,4.6791,0.0957037037037037,0.895703703703704,0,0.00859259259259259,0.100817438692098,0.896457765667575,0,0.00272479564032698,1.74613003095975,5.84217664571618
1,24,"queen",30,119,3,1,2229,0.3394,1.0952,0.9674,10.3554,0.7005,0.1705,3.9251,0.399703703703704,0.502814814814815,0.00029629629629629,0.0971851851851852,0.433242506811989,0.46866485013624,0,0.0980926430517711,4.61378799110452,6.12916322922805
1,25,"queen",30,110,2,3,3557,0.6779,1.0738,1.0103,10.9522,0.09,0.0218,1.0704,0.124444444444444,0.861333333333333,0,0.0142222222222222,0.00272479564032698,0.997275204359673,0,0,3.07619047619048,7.82822497420021
1,26,"queen",30,78,4,4,3602,0.488,1.0083,1.0082,5.6335,0.9,0.4118,0.1772,0.0906666666666667,0.900444444444444,0,0.00888888888888889,0,1,0,0,2.98039215686275,10.1972523856532
1,27,"queen",30,70,4,2,2549,0.4571,1.0744,0.992,11.7524,0.6848,0.4528,0.9839,0.259259259259259,0.668740740740741,0.00029629629629629,0.0717037037037037,0,0.997275204359673,0.00272479564032698,0,4.55085714285714,8.49702702702703
1,28,"queen",30,70,4,2,1955,0.2052,0.9901,1.0791,14.8704,0.0502,0.6629,3.5868,0.395851851851852,0.506666666666667,0.0195555555555556,0.0779259259259259,0.228882833787466,0.599455040871935,0.141689373297003,0.0299727520435967,5.05089820359281,7.18287134502924
1,29,"queen",30,95,4,2,2224,0.3995,0.9599,1.0829,14.4599,0.3156,0.7407,2.9256,0.300148148148148,0.617777777777778,0.0118518518518519,0.0702222222222222,0.0899182561307902,0.801089918256131,0.108991825613079,0,3.95656465942744,5.90188489208633
1,30,"queen",30,110,4,4,2100,0.3297,1.0936,1.0084,16.5288,0.1599,0.4229,1.3695,0.380148148148148,0.517333333333333,0.00622222222222222,0.0962962962962963,0.0190735694822888,0.929155313351499,0.0490463215258856,0.00272479564032698,4.68901013250195,6.63849369988545
1,31,"queen",30,119,2,4,1750,0.7018,0.9263,0.9429,14.4223,0.5185,0.3597,2.7215,0.164148148148148,0.815407407407407,0,0.0204444444444444,0.0899182561307902,0.901907356948229,0,0.00817438692098093,2.3971119133574,5.32433502906977
1,32,"queen",30,94,4,1,1674,0.4002,0.9706,1.027,5.7779,0.3852,0.03,4.5713,0.293333333333333,0.664,0.00029629629629629,0.0423703703703704,0.430517711171662,0.550408719346049,0,0.0190735694822888,4.22828282828283,5.36821062025881
1,33,"queen",30,111,4,1,1794,0.8123,1.0332,0.9152,19.1313,0.0876,0.9275,3.2492,0.172148148148148,0.770962962962963,0.0213333333333333,0.0355555555555556,0.0326975476839237,0.768392370572207,0.196185286103542,0.00272479564032698,2.9776247848537,5.45062644119908
1,34,"queen",30,62,3,3,1684,0.4483,0.9911,1.0676,5.2197,0.7112,0.2708,2.0354,0.210962962962963,0.736888888888889,0,0.0521481481481481,0.0272479564032698,0.964577656675749,0,0.00817438692098093,3.37078651685393,5.84236027342179
1,35,"queen",30,112,2,4,1129,0.6143,0.9171,1.0605,17.577,0.1182,0.958,2.9506,0.334222222222222,0.589037037037037,0.0254814814814815,0.0512592592592593,0.0844686648501362,0.681198910081744,0.23433242506812,0,4.42730496453901,6.35523641851107
1,36,"queen",30,82,3,4,2570,0.2372,0.9259,0.9807,5.7787,0.1953,0.5033,3.01,0.300740740740741,0.63762962962963,0.00088888888888888,0.0607407407407407,0.0926430517711172,0.863760217983651,0.00817438692098093,0.0354223433242507,3.8935960591133,5.72743029739777
